text{ key = "action.back", value = "Zurück" }
text{ key = "controls.action", value = "Interagieren/Rolle" }
text{ key = "controls.item1", value = "Gegenstand 1" }
text{ key = "controls.item2", value = "Gegenstand 2" }
text{ key = "controls.move", value = "Bewegen" }
text{ key = "controls.pause", value = "Pause" }
text{ key = "controls.quick_menus", value = "Schnellmenüs" }
text{ key = "controls.fullscreen", value = "Vollbild" }
text{ key = "controls.f1", value = "Steuerung" }
text{ key = "controls.switch_subscreen", value = "Durch Menüs scrollen" }
text{ key = "controls.sword", value = "Schwert/Beenden" }
text{ key = "item.abyssal_flame.1", value = "Flamme des Abgrunds" }
text{ key = "item.apples.1", value = "Äpfel" }
text{ key = "item.armor_tools.1", value = "Rüstungsschmiedwerkzeug" }
text{ key = "item.aster_note.1", value = "Drohbrief" }
text{ key = "item.ball_and_chain.1", value = "Flegel" }
text{ key = "item.ball_and_chain.2", value = "Explosiver Chaosflegel" }
text{ key = "item.barrier.1", value = "Devanas Barriere" }
text{ key = "item.berries.1", value = "Beeren" }
text{ key = "item.bomb_arrow_ticket.1", value = "Bombenpfeil-Pläne" }
text{ key = "item.bombs_counter_2.1", value = "Bomben" }
text{ key = "item.boomerang.1", value = "Bumerang" }
text{ key = "item.boomerang.2", value = "Krähenfeder-Bumerang" }
text{ key = "item.bow.1", value = "Bogen" }
text{ key = "item.bow_bombs.1", value = "Bombenpfeile" }
text{ key = "item.bow_fire.1", value = "Flammenpfeil" }
text{ key = "item.bow_warp.1", value = "Warpblitz-Amulett" }
text{ key = "item.bread.1", value = "Bur-Eichen-Brot" }
text{ key = "item.burdock.1", value = "Klettenwurzeln" }
text{ key = "item.chamomile.1", value = "Kamillen" }
text{ key = "item.charts.1", value = "Tanglers Karten" }
text{ key = "item.contract.1", value = "Ausbeutender Vertrag" }
text{ key = "item.coral_ore.1", value = "Korallenerz" }
text{ key = "item.crow_feather.1", value = "Krähenfeder" }
text{ key = "item.crystal_spark.1", value = "Ophiras Glut" }
text{ key = "item.cyclone_charm.1", value = "Zyklon-Amulett" }
text{ key = "item.elixer.1", value = "Lebenselixier" }
text{ key = "item.ether_bombs.1", value = "Ätherbomben" }
text{ key = "item.firethorn_berries.1", value = "Feuerdornbeeren" }
text{ key = "item.forsythia.1", value = "Forsythien" }
text{ key = "item.geode.1", value = "Monstergeoden" }
text{ key = "item.ghost_orchid.1", value = "Geisterorchideen" }
text{ key = "item.gust.1", value = "Zephyrines Sturm" }
text{ key = "item.hideout_chart.1", value = "Karte aus dem Piratenversteck" }
text{ key = "item.homing_eye.1", value = "Suchende Augen" }
text{ key = "item.honeycomb.1", value = "Hornissenwabe" }
text{ key = "item.iron_candle.1", value = "Salzkerzen" }
text{ key = "item.key_brass.1", value = "Messingschlüssel" }
text{ key = "item.key_haunted_house.1", value = "Schlüssel vom Umbersee" }
text{ key = "item.iron_pinecone.1", value = "Eiserner Kiefernzapfen" }
text{ key = "item.key_juneberry_inn.1", value = "Schlüssel für ein anderes Gasthaus?" }
text{ key = "item.key_juniper_grove.1", value = "Schlüssel zum Wacholderhain" }
text{ key = "item.key_juniper_grove_2.1", value = "Schlüssel zum inneren Tor des Wacholderhains" }
text{ key = "item.key_kingsdown.1", value = "Malvos Schlüssel" }
text{ key = "item.key_mead_safehouse.1", value = "Klebriger Honigschlüssel" }
text{ key = "item.key_mushroom_spot.1", value = "Schlüssel zur Pilzsammelstelle" }
text{ key = "item.key_shoal_pirate_fort.1", value = "Schlüssel zur Lotoswatt-Feste" }
text{ key = "item.key_poplar_shack.1", value = "Moosschlüssel" }
text{ key = "item.key_sinking_lighthouse.1", value = "Schlüssel zur Seeglanzruine" }
text{ key = "item.key_thrush_fort.1", value = "Schlüssel zur Drosselfeste" }
text{ key = "item.kingscrown.1", value = "Rosenwurze" }
text{ key = "item.lavendar.1", value = "Lavendelblüten" }
text{ key = "item.leaf_tornado.1", value = "Amalenchiers Zorn" }
text{ key = "item.machine_part.1", value = "Maschinenteil" }
text{ key = "item.mandrake.1", value = "Alraunenwurzel" }
text{ key = "item.mandrake_white.1", value = "Wurzeln einer Weißen Alraune" }
text{ key = "item.manna_oak_letter.1", value = "Mannaeichenbrief" }
text{ key = "item.manna_oak_twig.1", value = "Mannaeichenzweig" }
text{ key = "item.monkshood.1", value = "Eisenhut-Blütenblätter" }
text{ key = "item.monster_bones.1", value = "Untotenknochen" }
text{ key = "item.monster_eye.1", value = "Böse Augen" }
text{ key = "item.monster_guts.1", value = "Monster-Eingeweide" }
text{ key = "item.monster_horn.1", value = "Bestienhörner" }
text{ key = "item.monster_heart.1", value = "Herzen der Tiefsee" }
text{ key = "item.oceansheart_chart.1", value = "Karte der Sturminsel" }
text{ key = "item.oranges_shipment.1", value = "Kiste mit Orangen" }
text{ key = "item.potion_burlyblade.1", value = "Kraftklingentrank" }
text{ key = "item.potion_fleetseed.1", value = "Sausesamentrank" }
text{ key = "item.potion_magic_restoration.1", value = "Trank der Magiewiederherstellung" }
text{ key = "item.potion_stoneskin.1", value = "Steinhauttrank" }
text{ key = "item.prize_money.1", value = "Preisgeld (200 Kronen)" }
text{ key = "item.sleeping_draught.1", value = "Schlaftrank" }
text{ key = "item.spear.1", value = "Bärenkriegerspeer" }
text{ key = "item.spear.2", value = "Sonnenblumenspeer" }
text{ key = "item.stone_beak.1", value = "Ein schnabelförmiger Stein?" }
text{ key = "item.sword_of_the_sea_king.1", value = "Schwert des Meerkönigs" }
text{ key = "item.thunder_charm.1", value = "Seevogelträne" }
text{ key = "item.thunder_charm.2", value = "Seevogelträne" }
text{ key = "item.thunder_charm.3", value = "Seevogelträne" }
text{ key = "item.thunder_charm.4", value = "Seevogelträne" }
text{ key = "item.thunder_charm.5", value = "Seevogelträne" }
text{ key = "item.tungsten_ore.1", value = "Wolframerz" }
text{ key = "item.whisky_for_juglan.1", value = "Whiskey" }
text{ key = "item.witch_hazel.1", value = "Hexenhaselblumen" }
text{ key = "item_desc.apples.2", value = "Äpfel (3) – heilen je 2 Herzen" }
text{ key = "item_desc.apples.4", value = "Äpfel (10) – heilen je 2 Herzen" }
text{ key = "item_desc.arrow.3", value = "Pfeile (5)" }
text{ key = "item_desc.arrow.5", value = "Pfeile (20)" }
text{ key = "item_desc.berries.3", value = "Beeren (5) – heilen je ein halbes Herz" }
text{ key = "item_desc.berries.4", value = "Beeren (20) – heilen je ein halbes Herz" }
text{ key = "item_desc.bomb.3", value = "Bomben (5)" }
text{ key = "item_desc.bomb.4", value = "Bomben (10)" }
text{ key = "item_desc.bread.2", value = "Bur-Eichen-Brote (5) – heilen je 5 Herzen" }
text{ key = "item_desc.bread.3", value = "Bur-Eichen-Brote (10) – heilen je 5 Herzen" }
text{ key = "item_desc.elixer.1", value = "Elixier – volles Leben / Wiederbeleb. nach K. o." }
