text{ key = "action.back", value = "Atrás" }
text{ key = "controls.action", value = "Interactuar/Rodar" }
text{ key = "controls.item1", value = "Objeto 1" }
text{ key = "controls.item2", value = "Objeto 2" }
text{ key = "controls.move", value = "Moverse" }
text{ key = "controls.pause", value = "Pausa" }
text{ key = "controls.quick_menus", value = "Menús rápidos" }
text{ key = "controls.fullscreen", value = "Pantalla completa" }
text{ key = "controls.f1", value = "Controles" }
text{ key = "controls.switch_subscreen", value = "Desplazarse por los menús" }
text{ key = "controls.sword", value = "Espada/Salir" }
text{ key = "item.abyssal_flame.1", value = "Llama abisal" }
text{ key = "item.apples.1", value = "Manzanas" }
text{ key = "item.armor_tools.1", value = "Herramientas de armero" }
text{ key = "item.aster_note.1", value = "Nota de amenaza" }
text{ key = "item.ball_and_chain.1", value = "Mangual" }
text{ key = "item.ball_and_chain.2", value = "Mangual de caos explosivo" }
text{ key = "item.barrier.1", value = "Barrera de Devana" }
text{ key = "item.berries.1", value = "Bayas" }
text{ key = "item.bomb_arrow_ticket.1", value = "Planos de flechas explosivas" }
text{ key = "item.bombs_counter_2.1", value = "Bombas" }
text{ key = "item.boomerang.1", value = "Bumerán" }
text{ key = "item.boomerang.2", value = "Bumerán Plumacuervo" }
text{ key = "item.bow.1", value = "Arco" }
text{ key = "item.bow_bombs.1", value = "Flechas bomba" }
text{ key = "item.bow_fire.1", value = "Flechas incendiarias" }
text{ key = "item.bow_warp.1", value = "Amuleto de distorsión" }
text{ key = "item.bread.1", value = "Pan de roble bur" }
text{ key = "item.burdock.1", value = "Raíces de bardana" }
text{ key = "item.chamomile.1", value = "Flores de manzanilla" }
text{ key = "item.charts.1", value = "Mapas de Álgiton" }
text{ key = "item.contract.1", value = "Contrato de explotación" }
text{ key = "item.coral_ore.1", value = "Mena de coral" }
text{ key = "item.crow_feather.1", value = "Pluma de cuervo" }
text{ key = "item.crystal_spark.1", value = "Ascua de Ofira" }
text{ key = "item.cyclone_charm.1", value = "Amuleto de ciclón" }
text{ key = "item.elixer.1", value = "Elixir Vitae" }
text{ key = "item.ether_bombs.1", value = "Bombas de éter" }
text{ key = "item.firethorn_berries.1", value = "Espinos de fuego" }
text{ key = "item.forsythia.1", value = "Flores de forsythia" }
text{ key = "item.geode.1", value = "Geodas monstruosas" }
text{ key = "item.ghost_orchid.1", value = "Orquídeas fantasmales" }
text{ key = "item.gust.1", value = "Tempestad de Ceferina" }
text{ key = "item.hideout_chart.1", value = "Mapa a la guarida del Consejo Pirata" }
text{ key = "item.homing_eye.1", value = "Ojos buscadores" }
text{ key = "item.honeycomb.1", value = "Panal de avispones" }
text{ key = "item.iron_candle.1", value = "Velas de sal" }
text{ key = "item.key_brass.1", value = "Llave de latón" }
text{ key = "item.key_haunted_house.1", value = "Llave del lago Ocre" }
text{ key = "item.iron_pinecone.1", value = "Piña de hierro" }
text{ key = "item.key_juneberry_inn.1", value = "¿Una llave para otra posada?" }
text{ key = "item.key_juniper_grove.1", value = "Llave de la entrada de la Arboleda de los Enebros" }
text{ key = "item.key_juniper_grove_2.1", value = "Llave de la puerta interior de la Arboleda de los Enebros" }
text{ key = "item.key_kingsdown.1", value = "Llave de Malvin" }
text{ key = "item.key_mead_safehouse.1", value = "Llave de miel pegajosa" }
text{ key = "item.key_mushroom_spot.1", value = "Llave del rincón de setas" }
text{ key = "item.key_shoal_pirate_fort.1", value = "Llave del fuerte del Atolón del Loto" }
text{ key = "item.key_poplar_shack.1", value = "Llave cubierta de musgo" }
text{ key = "item.key_sinking_lighthouse.1", value = "Llave de las ruinas Destellomarino" }
text{ key = "item.key_thrush_fort.1", value = "Llave de Fuerte Zorzal" }
text{ key = "item.kingscrown.1", value = "Flores de rosea" }
text{ key = "item.lavendar.1", value = "Flores de lavanda" }
text{ key = "item.leaf_tornado.1", value = "Ira de Guillomo" }
text{ key = "item.machine_part.1", value = "Pieza mecánica" }
text{ key = "item.mandrake.1", value = "Raíz de mandrágora" }
text{ key = "item.mandrake_white.1", value = "Raíces de mandrágora blanca" }
text{ key = "item.manna_oak_letter.1", value = "Carta de roble del maná" }
text{ key = "item.manna_oak_twig.1", value = "Rama de roble del maná" }
text{ key = "item.monkshood.1", value = "Pétalos de acónito" }
text{ key = "item.monster_bones.1", value = "Huesos de no muerto" }
text{ key = "item.monster_eye.1", value = "Ojos malignos" }
text{ key = "item.monster_guts.1", value = "Tripas de monstruo" }
text{ key = "item.monster_horn.1", value = "Cuernos de bestia" }
text{ key = "item.monster_heart.1", value = "Corazones abisales" }
text{ key = "item.oceansheart_chart.1", value = "Mapa de la isla Tormentosa" }
text{ key = "item.oranges_shipment.1", value = "Caja de naranjas" }
text{ key = "item.potion_burlyblade.1", value = "Poción de hojafuerte" }
text{ key = "item.potion_fleetseed.1", value = "Poción de semillarápida" }
text{ key = "item.potion_magic_restoration.1", value = "Poción de restauración mágica" }
text{ key = "item.potion_stoneskin.1", value = "Poción de pielpétrea" }
text{ key = "item.prize_money.1", value = "Dinero del premio (200 coronas)" }
text{ key = "item.sleeping_draught.1", value = "Poción relajante" }
text{ key = "item.spear.1", value = "Lanza de los Guerreros Oso" }
text{ key = "item.spear.2", value = "Lanza de girasol" }
text{ key = "item.stone_beak.1", value = "¿Una piedra con forma de pico?" }
text{ key = "item.sword_of_the_sea_king.1", value = "Espada del rey del mar" }
text{ key = "item.thunder_charm.1", value = "Lágrima de ave marina" }
text{ key = "item.thunder_charm.2", value = "Lágrima de ave marina" }
text{ key = "item.thunder_charm.3", value = "Lágrima de ave marina" }
text{ key = "item.thunder_charm.4", value = "Lágrima de ave marina" }
text{ key = "item.thunder_charm.5", value = "Lágrima de ave marina" }
text{ key = "item.tungsten_ore.1", value = "Mena de tungsteno" }
text{ key = "item.whisky_for_juglan.1", value = "Wiski" }
text{ key = "item.witch_hazel.1", value = "Flores de hamamelis" }
text{ key = "item_desc.apples.2", value = "Manzanas (3): cada una cura dos corazones" }
text{ key = "item_desc.apples.4", value = "Manzanas (10): cada una cura dos corazones" }
text{ key = "item_desc.arrow.3", value = "Flechas (5)" }
text{ key = "item_desc.arrow.5", value = "Flechas (20)" }
text{ key = "item_desc.berries.3", value = "Bayas (5): cada una cura medio corazón" }
text{ key = "item_desc.berries.4", value = "Bayas (20): cada una cura medio corazón" }
text{ key = "item_desc.bomb.3", value = "Bombas (5)" }
text{ key = "item_desc.bomb.4", value = "Bombas (10)" }
text{ key = "item_desc.bread.2", value = "Pan de roble bur (5): cada unidad cura cinco corazones" }
text{ key = "item_desc.bread.3", value = "Pan de roble bur (10): cada unidad cura cinco corazones" }
text{ key = "item_desc.elixer.1", value = "Elixir: recupera la salud o te revive tras inconsciencia" }
text{ key = "item_desc.potion_burlyblade.1", value = "Poción de hojafuerte: inflige x1,5 de daño durante 4 min." }
text{ key = "item_desc.potion_magic_restoration.1", value = "Poción mágica: restaura el poder mágico" }
