text{ key = "action.back", value = "Retour" }
text{ key = "controls.action", value = "Interagir/Roullade" }
text{ key = "controls.item1", value = "Objet 1" }
text{ key = "controls.item2", value = "Objet 2" }
text{ key = "controls.move", value = "Déplacement" }
text{ key = "controls.pause", value = "Pause" }
text{ key = "controls.quick_menus", value = "Menus rapides" }
text{ key = "controls.fullscreen", value = "Plein écran" }
text{ key = "controls.f1", value = "Commandes" }
text{ key = "controls.switch_subscreen", value = "Défilement des menus" }
text{ key = "controls.sword", value = "Épée/Sortir" }
text{ key = "item.abyssal_flame.1", value = "Flamme abyssale" }
text{ key = "item.apples.1", value = "Pommes" }
text{ key = "item.armor_tools.1", value = "Outils d'armurier" }
text{ key = "item.aster_note.1", value = "Message de menaces" }
text{ key = "item.ball_and_chain.1", value = "Fléau" }
text{ key = "item.ball_and_chain.2", value = "Fléau explosif du chaos" }
text{ key = "item.barrier.1", value = "Barrière de Devana" }
text{ key = "item.berries.1", value = "Baies" }
text{ key = "item.bomb_arrow_ticket.1", value = "Plans de flèches explosives" }
text{ key = "item.bombs_counter_2.1", value = "Bombes" }
text{ key = "item.boomerang.1", value = "Boomerang" }
text{ key = "item.boomerang.2", value = "Boomerang à plumes de corbeau" }
text{ key = "item.bow.1", value = "Arc" }
text{ key = "item.bow_bombs.1", value = "Flèches bombes" }
text{ key = "item.bow_fire.1", value = "Flèches de flammes" }
text{ key = "item.bow_warp.1", value = "Amulette de carreaux de téléportation" }
text{ key = "item.bread.1", value = "Pain de glands" }
text{ key = "item.burdock.1", value = "Racines de bardane" }
text{ key = "item.chamomile.1", value = "Fleurs de camomille" }
text{ key = "item.charts.1", value = "Cartes maritimes de Goémon" }
text{ key = "item.contract.1", value = "Contrat d'exploitation" }
text{ key = "item.coral_ore.1", value = "Corail" }
text{ key = "item.crow_feather.1", value = "Plume de corbeau" }
text{ key = "item.crystal_spark.1", value = "Braise d'Ophira" }
text{ key = "item.cyclone_charm.1", value = "Amulette de cyclone" }
text{ key = "item.elixer.1", value = "Élixir vitae" }
text{ key = "item.ether_bombs.1", value = "Bombes d'éther" }
text{ key = "item.firethorn_berries.1", value = "Baies de buisson ardent" }
text{ key = "item.forsythia.1", value = "Fleurs de forsythia" }
text{ key = "item.geode.1", value = "Géodes monstres" }
text{ key = "item.ghost_orchid.1", value = "Orchidée fantôme" }
text{ key = "item.gust.1", value = "Tempête de Zéphyrine" }
text{ key = "item.hideout_chart.1", value = "Carte du repaire du Conseil pirate" }
text{ key = "item.homing_eye.1", value = "Yeux détecteurs" }
text{ key = "item.honeycomb.1", value = "Miel de frelon" }
text{ key = "item.iron_candle.1", value = "Bougies de sel" }
text{ key = "item.key_brass.1", value = "Clé de cuivre" }
text{ key = "item.key_haunted_house.1", value = "Clé du lac d'Ombre" }
text{ key = "item.iron_pinecone.1", value = "Pomme de pin de fer" }
text{ key = "item.key_juneberry_inn.1", value = "Clé d'une autre auberge ?" }
text{ key = "item.key_juniper_grove.1", value = "Clé du bosquet de Genévrier" }
text{ key = "item.key_juniper_grove_2.1", value = "Clé de la porte interne du bosquet de Genévrier" }
text{ key = "item.key_kingsdown.1", value = "Clé de Malvo" }
text{ key = "item.key_mead_safehouse.1", value = "Clé gluante de miel" }
text{ key = "item.key_mushroom_spot.1", value = "Clé du coin à champignons" }
text{ key = "item.key_shoal_pirate_fort.1", value = "Clé du fort du haut-fond du Lotus" }
text{ key = "item.key_poplar_shack.1", value = "Clé moussue" }
text{ key = "item.key_sinking_lighthouse.1", value = "Clé ruines des Lueurs de la mer" }
text{ key = "item.key_thrush_fort.1", value = "Clé du fort de la Grive" }
text{ key = "item.kingscrown.1", value = "Bourgeons d'orpin rouge" }
text{ key = "item.lavendar.1", value = "Fleurs de lavande" }
text{ key = "item.leaf_tornado.1", value = "Colère d'Amélanchier" }
text{ key = "item.machine_part.1", value = "Pièce de machine" }
text{ key = "item.mandrake.1", value = "Racine de mandragore" }
text{ key = "item.mandrake_white.1", value = "Racine de mandragore blanche" }
text{ key = "item.manna_oak_letter.1", value = "Lettre de chêne de mana" }
text{ key = "item.manna_oak_twig.1", value = "Brindille de chêne de mana" }
text{ key = "item.monkshood.1", value = "Pétales d'aconit" }
text{ key = "item.monster_bones.1", value = "Os de mort-vivant" }
text{ key = "item.monster_eye.1", value = "Yeux maléfiques" }
text{ key = "item.monster_guts.1", value = "Tripes de monstres" }
text{ key = "item.monster_horn.1", value = "Cornes de bêtes" }
text{ key = "item.monster_heart.1", value = "Cœurs abyssaux" }
text{ key = "item.oceansheart_chart.1", value = "Carte de l'île des Tempêtes" }
