text{ key = "action.back", value = "戻る" }
text{ key = "controls.action", value = "調べる/前転" }
text{ key = "controls.item1", value = "アイテム 1" }
text{ key = "controls.item2", value = "アイテム 2" }
text{ key = "controls.move", value = "移動" }
text{ key = "controls.pause", value = "ポーズ" }
text{ key = "controls.quick_menus", value = "クイックメニュー" }
text{ key = "controls.fullscreen", value = "フルスクリーン" }
text{ key = "controls.f1", value = "操作方法" }
text{ key = "controls.switch_subscreen", value = "メニューを移動" }
text{ key = "controls.sword", value = "剣/終了" }
text{ key = "item.abyssal_flame.1", value = "アビサルフレイム" }
text{ key = "item.apples.1", value = "リンゴ" }
text{ key = "item.armor_tools.1", value = "防具職人の道具セット" }
text{ key = "item.aster_note.1", value = "脅迫文" }
text{ key = "item.ball_and_chain.1", value = "フレイル" }
text{ key = "item.ball_and_chain.2", value = "爆発カオスフレイル" }
text{ key = "item.barrier.1", value = "デヴァナのバリア" }
text{ key = "item.berries.1", value = "果実" }
text{ key = "item.bomb_arrow_ticket.1", value = "爆弾矢の作り方" }
text{ key = "item.bombs_counter_2.1", value = "爆弾" }
text{ key = "item.boomerang.1", value = "ブーメラン" }
text{ key = "item.boomerang.2", value = "カラス羽のブーメラン" }
text{ key = "item.bow.1", value = "弓矢" }
text{ key = "item.bow_bombs.1", value = "爆弾矢" }
text{ key = "item.bow_fire.1", value = "炎の矢" }
text{ key = "item.bow_warp.1", value = "ワープボルトのお守り" }
text{ key = "item.bread.1", value = "バーオークのパン" }
text{ key = "item.burdock.1", value = "ゴボウの根" }
text{ key = "item.chamomile.1", value = "カモミールの花" }
text{ key = "item.charts.1", value = "ケルプトンの海図" }
text{ key = "item.contract.1", value = "不公平な契約書" }
text{ key = "item.coral_ore.1", value = "サンゴ鉱石" }
text{ key = "item.crow_feather.1", value = "カラスの羽" }
text{ key = "item.crystal_spark.1", value = "オフィーラの残り火" }
text{ key = "item.cyclone_charm.1", value = "サイクロンのお守り" }
text{ key = "item.elixer.1", value = "生命のエリクサー" }
text{ key = "item.ether_bombs.1", value = "エーテル爆弾" }
text{ key = "item.firethorn_berries.1", value = "トキワサンザシの果実" }
text{ key = "item.forsythia.1", value = "レンギョウの花" }
text{ key = "item.geode.1", value = "モンスタージオード" }
text{ key = "item.ghost_orchid.1", value = "ユウレイラン" }
text{ key = "item.gust.1", value = "ゼフィリンの嵐" }
text{ key = "item.hideout_chart.1", value = "海賊評議会のアジトの海図" }
text{ key = "item.homing_eye.1", value = "シーカーアイ" }
text{ key = "item.honeycomb.1", value = "スズメバチの巣" }
text{ key = "item.iron_candle.1", value = "ソルトキャンドル" }
text{ key = "item.key_brass.1", value = "黄銅のカギ" }
text{ key = "item.key_haunted_house.1", value = "アンバー湖のカギ" }
text{ key = "item.iron_pinecone.1", value = "鉄の松ぼっくり" }
text{ key = "item.key_juneberry_inn.1", value = "他の宿屋のカギ？" }
text{ key = "item.key_juniper_grove.1", value = "ジュニパー木立入口のカギ" }
text{ key = "item.key_juniper_grove_2.1", value = "ジュニパー木立内門のカギ" }
text{ key = "item.key_kingsdown.1", value = "マロウのカギ" }
