text{ key = "action.back", value = "Назад" }
text{ key = "controls.action", value = "Взаимодействие/Кувырок" }
text{ key = "controls.item1", value = "Предмет 1" }
text{ key = "controls.item2", value = "Предмет 2" }
text{ key = "controls.move", value = "Движение" }
text{ key = "controls.pause", value = "Пауза" }
text{ key = "controls.quick_menus", value = "Быстрый доступ" }
text{ key = "controls.fullscreen", value = "Полный экран" }
text{ key = "controls.f1", value = "Управление" }
text{ key = "controls.switch_subscreen", value = "Перемещение в меню" }
text{ key = "controls.sword", value = "Меч/Выход" }
text{ key = "item.abyssal_flame.1", value = "Пламя Пучины" }
text{ key = "item.apples.1", value = "Яблоки" }
text{ key = "item.armor_tools.1", value = "Инструменты бронника" }
text{ key = "item.aster_note.1", value = "Записка с угрозой" }
text{ key = "item.ball_and_chain.1", value = "Цеп" }
text{ key = "item.ball_and_chain.2", value = "Цеп взрывного хаоса" }
text{ key = "item.barrier.1", value = "Защита Деваны" }
text{ key = "item.berries.1", value = "Ягоды" }
text{ key = "item.bomb_arrow_ticket.1", value = "Схема взрывной стрелы" }
text{ key = "item.bombs_counter_2.1", value = "Бомбы" }
text{ key = "item.boomerang.1", value = "Бумеранг" }
text{ key = "item.boomerang.2", value = "Вороний бумеранг" }
text{ key = "item.bow.1", value = "Лук" }
text{ key = "item.bow_bombs.1", value = "Взрывные стрелы" }
text{ key = "item.bow_fire.1", value = "Пламенные стрелы" }
text{ key = "item.bow_warp.1", value = "Амулет телепорта" }
text{ key = "item.bread.1", value = "Дубовый хлеб" }
text{ key = "item.burdock.1", value = "Корни лопуха" }
text{ key = "item.chamomile.1", value = "Ромашки" }
text{ key = "item.charts.1", value = "Карты Ламинария" }
text{ key = "item.contract.1", value = "Кабальный договор" }
text{ key = "item.coral_ore.1", value = "Коралловая руда" }
text{ key = "item.crow_feather.1", value = "Воронье перо" }
text{ key = "item.crystal_spark.1", value = "Угли Офиры" }
text{ key = "item.cyclone_charm.1", value = "Амулет вихря" }
text{ key = "item.elixer.1", value = "Эликсир жизни" }
text{ key = "item.ether_bombs.1", value = "Эфирные бомбы" }
text{ key = "item.firethorn_berries.1", value = "Ягоды пираканты" }
text{ key = "item.forsythia.1", value = "Форзиция" }
text{ key = "item.geode.1", value = "Жеоды монстров" }
text{ key = "item.ghost_orchid.1", value = "Призрачные орхидеи" }
text{ key = "item.gust.1", value = "Буря Зефирин" }
text{ key = "item.hideout_chart.1", value = "Карта убежища пиратского совета" }
text{ key = "item.homing_eye.1", value = "Глаза искателя" }
text{ key = "item.honeycomb.1", value = "Осиные соты" }
text{ key = "item.iron_candle.1", value = "Соляные свечи" }
text{ key = "item.key_brass.1", value = "Медный ключ" }
