text{ key = "action.back", value = "返回" }
text{ key = "controls.action", value = "交互/滚动" }
text{ key = "controls.item1", value = "物品1" }
text{ key = "controls.item2", value = "物品2" }
text{ key = "controls.move", value = "移动" }
text{ key = "controls.pause", value = "暂停" }
text{ key = "controls.quick_menus", value = "快捷菜单" }
text{ key = "controls.fullscreen", value = "全屏" }
text{ key = "controls.f1", value = "控制" }
text{ key = "controls.switch_subscreen", value = "滚动菜单" }
text{ key = "controls.sword", value = "剑/退出" }
text{ key = "item.abyssal_flame.1", value = "深渊之焰" }
text{ key = "item.apples.1", value = "苹果" }
text{ key = "item.armor_tools.1", value = "军械师的工具箱" }
text{ key = "item.aster_note.1", value = "恐吓信" }
text{ key = "item.ball_and_chain.1", value = "连枷" }
text{ key = "item.ball_and_chain.2", value = "爆炸混乱连枷" }
text{ key = "item.barrier.1", value = "蒂瓦纳屏障" }
text{ key = "item.berries.1", value = "浆果" }
text{ key = "item.bomb_arrow_ticket.1", value = "爆炸箭制法" }
text{ key = "item.bombs_counter_2.1", value = "炸弹" }
text{ key = "item.boomerang.1", value = "回旋镖" }
text{ key = "item.boomerang.2", value = "鸦羽回旋镖" }
text{ key = "item.bow.1", value = "弓" }
text{ key = "item.bow_bombs.1", value = "爆炸箭" }
text{ key = "item.bow_fire.1", value = "燃烧箭" }
text{ key = "item.bow_warp.1", value = "瞬移箭符" }
text{ key = "item.bread.1", value = "橡子面包" }
text{ key = "item.burdock.1", value = "牛蒡根" }
text{ key = "item.chamomile.1", value = "洋甘菊" }
text{ key = "item.charts.1", value = "凯尔普顿的海图" }
text{ key = "item.contract.1", value = "压榨契约" }
text{ key = "item.coral_ore.1", value = "珊瑚矿石" }
text{ key = "item.crow_feather.1", value = "鸦羽" }
text{ key = "item.crystal_spark.1", value = "奥菲拉的余烬" }
text{ key = "item.cyclone_charm.1", value = "气旋符" }
text{ key = "item.elixer.1", value = "长生药水" }
text{ key = "item.ether_bombs.1", value = "以太炸弹" }
text{ key = "item.firethorn_berries.1", value = "火棘果" }
text{ key = "item.forsythia.1", value = "连翘花" }
text{ key = "item.geode.1", value = "怪物晶石" }
text{ key = "item.ghost_orchid.1", value = "幽灵兰" }
text{ key = "item.gust.1", value = "泽费瑞因的暴风雨" }
text{ key = "item.hideout_chart.1", value = "海盗公会老窝海图" }
text{ key = "item.homing_eye.1", value = "搜寻之眼" }
text{ key = "item.honeycomb.1", value = "大黄蜂巢" }
text{ key = "item.iron_candle.1", value = "盐烛" }
text{ key = "item.key_brass.1", value = "黄铜钥匙" }
text{ key = "item.key_haunted_house.1", value = "来自深棕湖的钥匙" }
text{ key = "item.iron_pinecone.1", value = "铁松果" }
text{ key = "item.key_juneberry_inn.1", value = "另一间旅馆的钥匙？" }
text{ key = "item.key_juniper_grove.1", value = "杜松林入口钥匙" }
text{ key = "item.key_juniper_grove_2.1", value = "杜松林中门钥匙" }
text{ key = "item.key_kingsdown.1", value = "马洛的钥匙" }
text{ key = "item.key_mead_safehouse.1", value = "粘粘的蜂蜜钥匙" }
text{ key = "item.key_mushroom_spot.1", value = "蘑菇采摘点的钥匙" }
text{ key = "item.key_shoal_pirate_fort.1", value = "莲花浅滩堡钥匙" }
text{ key = "item.key_poplar_shack.1", value = "生苔的钥匙" }
text{ key = "item.key_sinking_lighthouse.1", value = "海光遗迹钥匙" }
text{ key = "item.key_thrush_fort.1", value = "鸫堡钥匙" }
text{ key = "item.kingscrown.1", value = "王冠草" }
text{ key = "item.lavendar.1", value = "薰衣草" }
text{ key = "item.leaf_tornado.1", value = "唐棣之怒" }
text{ key = "item.machine_part.1", value = "机器零件" }
text{ key = "item.mandrake.1", value = "曼德拉草根" }
text{ key = "item.mandrake_white.1", value = "白曼德拉草根" }
text{ key = "item.manna_oak_letter.1", value = "关于天赐橡树的信" }
text{ key = "item.manna_oak_twig.1", value = "天赐橡树枝" }
text{ key = "item.monkshood.1", value = "乌头花瓣" }
text{ key = "item.monster_bones.1", value = "不死族之骨" }
text{ key = "item.monster_eye.1", value = "邪恶之眼" }
text{ key = "item.monster_guts.1", value = "兽胆" }
text{ key = "item.monster_horn.1", value = "兽角" }
text{ key = "item.monster_heart.1", value = "深渊之心" }
text{ key = "item.oceansheart_chart.1", value = "风暴岛海图" }
text{ key = "item.oranges_shipment.1", value = "橙箱" }
text{ key = "item.potion_burlyblade.1", value = "强刃药水" }
text{ key = "item.potion_fleetseed.1", value = "迅捷药水" }
text{ key = "item.potion_magic_restoration.1", value = "魔法恢复药水" }
text{ key = "item.potion_stoneskin.1", value = "石肤药水" }
text{ key = "item.prize_money.1", value = "奖金（200皇冠币）" }
text{ key = "item.sleeping_draught.1", value = "催眠药水" }
text{ key = "item.spear.1", value = "熊战士之矛" }
