map{ id = "1_aaa_corrupted_save_map", description = "_corrupted_save_map" }
map{ id = "1_empty_grass", description = "test" }
map{ id = "Limestone Island/cape_ruins", description = "cape_ruins" }
map{ id = "Limestone Island/caves/hidden_lake_cave", description = "hidden lake cave" }
map{ id = "Limestone Island/caves/hole", description = "hole" }
map{ id = "Limestone Island/caves/lighthouse", description = "lighthouse" }
map{ id = "Limestone Island/caves/lighthouse_cave", description = "Lighthouse Cave" }
map{ id = "Limestone Island/caves/sanctuary_1", description = "Sanctuary 1" }
map{ id = "Limestone Island/caves/sanctuary_2", description = "Sanctuary 2" }
map{ id = "Limestone Island/intro_dialog", description = "intro dialog" }
map{ id = "Limestone Island/intro_map", description = "Intro Map" }
map{ id = "Limestone Island/intro_transition_map", description = "intro transition map" }
map{ id = "Limestone Island/limestone_forest", description = "Limestone Forest" }
map{ id = "Limestone Island/limestone_mountain", description = "Limestone Mountain" }
map{ id = "Limestone Island/limestone_village/basswood_tavern", description = "Basswood Tavern" }
map{ id = "Limestone Island/limestone_village/basswood_tavern_stockroom", description = "basswood tavern - stockroom" }
map{ id = "Limestone Island/limestone_village/basswood_tavern_upstairs", description = "Basswood Tavern - Upstairs" }
map{ id = "Limestone Island/limestone_village/bernard", description = "Bernard" }
map{ id = "Limestone Island/limestone_village/juglan", description = "Juglan's House" }
map{ id = "Limestone Island/limestone_village/juglan_secret_room", description = "Juglan's secret room" }
map{ id = "Limestone Island/limestone_village/limestone_village", description = "limestone_village" }
map{ id = "Limestone Island/limestone_village/nielson", description = "Nielson" }
map{ id = "Limestone Island/limestone_village/paula", description = "paula" }
map{ id = "Limestone Island/limestone_village/shifty_ulrich", description = "Shifty Ulrich" }
map{ id = "Limestone Island/limestone_village/tailor", description = "tailor's" }
map{ id = "Limestone Island/limestone_village/wally", description = "Wally's House" }
map{ id = "Limestone Island/sanctuary_ext", description = "Sanctuary Ext" }
map{ id = "Limestone Island/sometimes_cape", description = "Sometimes Cape" }
map{ id = "Limestone Island/west_limestone", description = "West Limestone" }
map{ id = "Yarrowmouth/OLDyarrowmouth_village_old", description = "OLDYarrowmouth Village" }
map{ id = "Yarrowmouth/bear_catacombs/bear_catacombs", description = "Bear Catacombs" }
map{ id = "Yarrowmouth/caves/ancient_grove", description = "Ancient Grove" }
map{ id = "Yarrowmouth/caves/beak_cave", description = "Beak Cave" }
map{ id = "Yarrowmouth/caves/dandelion_charm_cave", description = "Dandelion Charm Cave" }
map{ id = "Yarrowmouth/caves/deuling_arborgeist_cave", description = "Deuling Arborgeist Cave" }
map{ id = "Yarrowmouth/caves/docks_cave", description = "Docks Cave" }
map{ id = "Yarrowmouth/caves/elixer_cave", description = "Elixer Cave" }
map{ id = "Yarrowmouth/caves/ghost_orchid_cave", description = "Ghost Orchid Cave Yarrowmouth" }
map{ id = "Yarrowmouth/caves/ghost_ship", description = "Ghost Ship" }
map{ id = "Yarrowmouth/caves/grove_cave", description = "Grove Cave" }
map{ id = "Yarrowmouth/caves/juniper_grove_cave", description = "Juniper Grove Cave" }
map{ id = "Yarrowmouth/caves/marsh_cave", description = "Marsh Cave" }
map{ id = "Yarrowmouth/caves/naerreturn_cave", description = "Naerreturn Cave" }
map{ id = "Yarrowmouth/caves/puzzlewood_cave_1", description = "Puzzlewood Cave 1" }
map{ id = "Yarrowmouth/caves/seabird_shrine", description = "Seabird Shrine" }
map{ id = "Yarrowmouth/caves/tern_marsh_ambush", description = "Marsh Ambush Cave" }
map{ id = "Yarrowmouth/caves/village_cave", description = "Village Cave" }
map{ id = "Yarrowmouth/caves/warp_cave", description = "Warp Cave" }
map{ id = "Yarrowmouth/foothills_old", description = "OLDPuzzlewood" }
map{ id = "Yarrowmouth/hourglass_canyon", description = "Hourglass Fort" }
map{ id = "Yarrowmouth/hourglass_fort/basement", description = "Basement" }
map{ id = "Yarrowmouth/hourglass_fort/hourglass_fort", description = "Hourglass Fort - Outside" }
map{ id = "Yarrowmouth/hourglass_fort/tunnel", description = "tunnel" }
map{ id = "Yarrowmouth/interiors/briarwood_barn", description = "Briarwood Barn" }
map{ id = "Yarrowmouth/interiors/briarwood_distillery", description = "Briarwood Distillery" }
map{ id = "Yarrowmouth/interiors/carlov_house", description = "Carlov's House" }
map{ id = "Yarrowmouth/interiors/crafting_house", description = "Crafting House" }
map{ id = "Yarrowmouth/interiors/lighthouse", description = "Lighthouse" }
map{ id = "Yarrowmouth/interiors/meadery_safehouse", description = "Meadery Safehouse" }
map{ id = "Yarrowmouth/interiors/nina", description = "Nina's House" }
map{ id = "Yarrowmouth/interiors/shop", description = "Shop" }
map{ id = "Yarrowmouth/interiors/silent_glade_health", description = "Silent Glade Health Upgrade" }
map{ id = "Yarrowmouth/juniper_grove", description = "Juniper Grove" }
map{ id = "Yarrowmouth/kingsdown", description = "Kingsdown" }
map{ id = "Yarrowmouth/naerreturn_bay_old", description = "Naerreturn Bay" }
map{ id = "Yarrowmouth/puzzlewood", description = "Puzzlewood" }
map{ id = "Yarrowmouth/silent_glade", description = "Silent Glade" }
map{ id = "Yarrowmouth/tern_marsh", description = "Tern Marsh" }
map{ id = "Yarrowmouth/tern_marsh_old", description = "OLD marsh" }
map{ id = "Yarrowmouth/yarrowmouth_village", description = "Yarrowmouth Village" }
map{ id = "ballast_harbor/ancient_grove", description = "Ancient Grove" }
map{ id = "ballast_harbor/ballast_harbor", description = "Ballast Harbor" }
map{ id = "ballast_harbor/ballast_harbor_old", description = "OLDBallast Harbor" }
map{ id = "ballast_harbor/ballast_trail", description = "BallastTrail" }
map{ id = "ballast_harbor/cave_1", description = "Cave 1" }
map{ id = "ballast_harbor/cave_alley", description = "Cave - Back Alley" }
map{ id = "ballast_harbor/chart_shop", description = "Chart Shop" }
map{ id = "ballast_harbor/council_building", description = "Sunken Palace Shrine (old council bldg)" }
map{ id = "ballast_harbor/dream_cannon_hideout", description = "Dream Cannon Hideout" }
map{ id = "ballast_harbor/honestbeard", description = "Honestbeard's Emporium" }
map{ id = "ballast_harbor/meadery", description = "Meadery" }
map{ id = "ballast_harbor/pirate_vault", description = "Pirate Vault" }
map{ id = "ballast_harbor/prometheus_jones", description = "Prometheus Jones" }
map{ id = "ballast_harbor/tavern", description = "Sharkfire Tavern" }
map{ id = "ballast_harbor/well-pit", description = "Well Pit" }
